m_phi,θ_squared,N_phi
0.0292403,0.00045673,0.0123479
0.0292403,0.000440156,0.0118999
0.0292403,0.000424185,0.0114681
0.0292403,0.000408793,0.0110519
0.0292403,0.000393959,0.0106509
0.0292403,0.000379664,0.0102644
0.0292403,0.000365887,0.00989196
0.0292403,0.00035261,0.00953302
0.0292403,0.000339815,0.0091871
0.0292403,0.000327485,0.00885373
0.0292403,0.000315602,0.00853246
0.0292403,0.00030415,0.00822285
0.0292403,0.000293113,0.00792447
0.0292403,0.000282477,0.00763692
0.0292403,0.000272227,0.00735981
0.0292403,0.000262349,0.00709275
0.0292403,0.000252829,0.00683538
0.0292403,0.000243655,0.00658735
0.0292403,0.000234814,0.00634831
0.0292403,0.000226293,0.00611796
0.0292403,0.000218082,0.00589596
0.0292403,0.000210168,0.00568202
0.0292403,0.000202542,0.00547584
0.0292403,0.000195193,0.00527714
0.0292403,0.00018811,0.00508565
0.0292403,0.000181284,0.00490111
0.0292403,0.000174706,0.00472327
0.0292403,0.000168366,0.00455188
0.0292403,0.000162257,0.00438671
0.0292403,0.000156369,0.00422753
0.0292403,0.000150695,0.00407413
0.0292403,0.000145227,0.00392629
0.0292403,0.000139957,0.00378382
0.0292403,0.000134879,0.00364652
0.0292403,0.000129984,0.0035142
0.0292403,0.000125268,0.00338668
0.0292403,0.000120722,0.00326379
0.0292403,0.000116342,0.00314536
0.0292403,0.00011212,0.00303123
0.0292403,0.000108052,0.00292124
0.0292403,0.000104131,0.00281524
0.0292403,0.000100352,0.00271308
0.0292403,9.67109e-05,0.00261463
0.0292403,9.32017e-05,0.00251976
0.0292403,8.98197e-05,0.00242832
0.0292403,8.65605e-05,0.00234021
0.0292403,8.34195e-05,0.00225529
0.0292403,8.03925e-05,0.00217346
0.0292403,7.74754e-05,0.00209459
0.0292403,7.46641e-05,0.00201858
0.0292403,7.19548e-05,0.00194534
0.0292403,6.93438e-05,0.00187475
0.0292403,6.68276e-05,0.00180672
0.0292403,6.44027e-05,0.00174116
0.0292403,6.20657e-05,0.00167798
0.0292403,5.98136e-05,0.00161709
0.0292403,5.76432e-05,0.00155841
0.0292403,5.55515e-05,0.00150187
0.0292403,5.35357e-05,0.00144737
0.0292403,5.15931e-05,0.00139485
0.0292403,4.9721e-05,0.00134423
0.0292403,4.79168e-05,0.00129546
0.0292403,4.61781e-05,0.00124845
0.0292403,4.45024e-05,0.00120315
0.0292403,4.28876e-05,0.00115949
0.0292403,4.13314e-05,0.00111742
0.0292403,3.98316e-05,0.00107687
0.0292403,3.83863e-05,0.00103779
0.0292403,3.69934e-05,0.00100014
0.0292403,3.5651e-05,0.000963845
0.0292403,3.43574e-05,0.00092887
0.0292403,3.31107e-05,0.000895165
0.0292403,3.19092e-05,0.000862683
0.0292403,3.07513e-05,0.000831379
0.0292403,2.96355e-05,0.000801211
0.0292403,2.85601e-05,0.000772138
0.0292403,2.75238e-05,0.00074412
0.0292403,2.6525e-05,0.000717119
0.0292403,2.55625e-05,0.000691097
0.0292403,2.4635e-05,0.00066602
0.0292403,2.37411e-05,0.000641852
0.0292403,2.28796e-05,0.000618562
0.0292403,2.20494e-05,0.000596117
