m_phi_low,m_phi_high,m_H5,sin_theta_H,N_phi_GM
0.0297890532,0.0445593107,0.0413170097,0.0419309722,0.0001372567
0.0297890532,0.0445593107,0.0440298490,0.0176189265,0.0000241005
0.0297890532,0.0445593107,0.0352063835,0.0098776309,0.0000076155
0.0297890532,0.0445593107,0.0390474142,0.0322469490,0.0000813215
0.0297890532,0.0445593107,0.0302989595,0.0584019904,0.0002690938
0.0297890532,0.0445593107,0.0327528453,0.0234324828,0.0000431475
0.0297890532,0.0445593107,0.0373989819,0.0106445654,0.0000088314
0.0297890532,0.0445593107,0.0361297217,0.0201425562,0.0000317710
0.0297890532,0.0445593107,0.0407246427,0.1566205726,0.0019187638
0.0297890532,0.0445593107,0.0393657259,0.1084164977,0.0009204944
0.0297890532,0.0445593107,0.0301452499,0.0270258863,0.0000575408
0.0297890532,0.0445593107,0.0386699656,0.3808599541,0.0113733544
0.0297890532,0.0445593107,0.0299524519,0.0088460535,0.0000061285
0.0297890532,0.0445593107,0.0320835265,0.0608741958,0.0002919613
0.0297890532,0.0445593107,0.0434897358,0.0443600278,0.0001532752
0.0297890532,0.0445593107,0.0401399465,0.0249157254,0.0000484604
0.0297890532,0.0445593107,0.0330968812,0.0920499411,0.0006673165
0.0297890532,0.0445593107,0.0377044996,0.0169711070,0.0000225043
0.0297890532,0.0445593107,0.0317950992,0.2478748704,0.0048467392
0.0297890532,0.0445593107,0.0336656861,0.0730849922,0.0004203736
0.0297890532,0.0445593107,0.0434410565,0.4569302003,0.0162894215
0.0297890532,0.0445593107,0.0426517629,0.0334335976,0.0000870972
0.0297890532,0.0445593107,0.0338179527,0.1777729579,0.0024884473
0.0297890532,0.0445593107,0.0364533598,0.0151643301,0.0000179788
0.0297890532,0.0445593107,0.0332756864,0.0220159244,0.0000380635
0.0297890532,0.0445593107,0.0411368504,0.0208021399,0.0000337240
0.0297890532,0.0445593107,0.0383967169,0.4585868112,0.0164944063
0.0297890532,0.0445593107,0.0378414757,0.0267345087,0.0000559328
0.0297890532,0.0445593107,0.0314209422,0.0580614498,0.0002657292
0.0297890532,0.0445593107,0.0433835776,0.0122191977,0.0000115775
0.0297890532,0.0445593107,0.0423307358,0.0943998364,0.0006956415
0.0297890532,0.0445593107,0.0329916793,0.0531397401,0.0002222747
0.0297890532,0.0445593107,0.0444898423,0.0283771286,0.0000625905
0.0297890532,0.0445593107,0.0435135686,0.0198337569,0.0000305733
0.0297890532,0.0445593107,0.0408762017,0.0676442373,0.0003576293
0.0297890532,0.0445593107,0.0353762223,0.0154331304,0.0000186417
0.0297890532,0.0445593107,0.0346526688,0.0363804655,0.0001039613
0.0297890532,0.0445593107,0.0421000770,0.1925828179,0.0028971315
0.0297890532,0.0445593107,0.0332776314,0.0976242404,0.0007505077
0.0297890532,0.0445593107,0.0315922584,0.3960328121,0.0123758050
0.0297890532,0.0445593107,0.0416344596,0.0659850150,0.0003400190
0.0297890532,0.0445593107,0.0396617160,0.0076260413,0.0000045097
0.0297890532,0.0445593107,0.0382247745,0.2419216785,0.0045903158
0.0297890532,0.0445593107,0.0298613634,0.2006590380,0.0031807328
0.0297890532,0.0445593107,0.0311637643,0.0092692711,0.0000067255
0.0297890532,0.0445593107,0.0437970078,0.0700038803,0.0003818237
0.0297890532,0.0445593107,0.0313139019,0.1341040711,0.0014187921
0.0297890532,0.0445593107,0.0357193314,0.2735805887,0.0058844361
0.0297890532,0.0445593107,0.0329879028,0.0704414735,0.0003907217
0.0297890532,0.0445593107,0.0412227388,0.0241326856,0.0000454068
0.0297890532,0.0445593107,0.0390937777,0.3983270148,0.0124353974
0.0297890532,0.0445593107,0.0313832795,0.0876255024,0.0006055314
0.0297890532,0.0445593107,0.0310291848,0.0112932699,0.0000099996
0.0297890532,0.0445593107,0.0307623266,0.0479297307,0.0001811232
0.0297890532,0.0445593107,0.0387224066,0.0776108891,0.0004718777
0.0297890532,0.0445593107,0.0352823378,0.0098107636,0.0000075119
0.0297890532,0.0445593107,0.0370675068,0.1504194178,0.0017762214
0.0297890532,0.0445593107,0.0340089057,0.0195862991,0.0000300937
0.0297890532,0.0445593107,0.0358322866,0.1737537440,0.0023729346
0.0297890532,0.0445593107,0.0361930037,0.4232844756,0.0140818405
0.0297890532,0.0445593107,0.0379451124,0.0782391685,0.0004799164
0.0297890532,0.0445593107,0.0358602962,0.0212925456,0.0000355185
0.0297890532,0.0445593107,0.0412947547,0.0181969884,0.0000257879
0.0297890532,0.0445593107,0.0400085611,0.2271946477,0.0040411738
0.0297890532,0.0445593107,0.0380273224,0.4652161804,0.0169809084
0.0297890532,0.0445593107,0.0358190536,0.0424466022,0.0001414171
0.0297890532,0.0445593107,0.0366418827,0.1233904538,0.0011955739
0.0297890532,0.0445593107,0.0375485567,0.0450855843,0.0001593082
0.0297890532,0.0445593107,0.0309305837,0.1242224558,0.0012177171
0.0297890532,0.0445593107,0.0395346292,0.0128350796,0.0000128297
0.0297890532,0.0445593107,0.0405496504,0.0549485445,0.0002360017
0.0297890532,0.0445593107,0.0336044973,0.2284630817,0.0041110370
0.0297890532,0.0445593107,0.0322349967,0.0075713607,0.0000044748
0.0297890532,0.0445593107,0.0314369302,0.1828242622,0.0026371075
