mphi,theta^2
2.905610103454688e-2, 5.027089889261391e-6
2.905610103454688e-2, 4.844675174430284e-6
2.905610103454688e-2, 4.668879622757168e-6
2.905610103454688e-2, 4.499463049008345e-6
2.905610103454688e-2, 4.336193983394212e-6
2.905610103454688e-2, 4.178849355317662e-6
2.905610103454688e-2, 4.027214188598090e-6
2.905610103454688e-2, 3.881081307754607e-6
2.905610103454688e-2, 3.740251054947169e-6
2.905610103454688e-2, 3.604531017188867e-6
2.905610103454688e-2, 3.473735763456694e-6
2.905610103454688e-2, 3.347686591341597e-6
2.905610103454688e-2, 3.226211282891677e-6
2.905610103454688e-2, 3.109143869314949e-6
2.905610103454688e-2, 2.996324404220144e-6
2.905610103454688e-2, 2.887598745085847e-6
2.905610103454688e-2, 2.782818342659247e-6
2.905610103454688e-2, 2.681840037996876e-6
2.905610103454688e-2, 2.584525866869985e-6
2.905610103454688e-2, 2.490742871267339e-6
2.905610103454688e-2, 2.400362917737883e-6
2.905610103454688e-2, 2.313262522325090e-6
2.905610103454688e-2, 2.229322681853803e-6
2.905610103454688e-2, 2.148428711339059e-6
2.905610103454688e-2, 2.070470087294750e-6
2.905610103454688e-2, 1.995340296728044e-6
2.905610103454688e-2, 1.922936691613249e-6
2.905610103454688e-2, 1.853160348646276e-6
2.905610103454688e-2, 1.785915934088116e-6
2.905610103454688e-2, 1.721111573512642e-6
2.905610103454688e-2, 1.658658726280791e-6
2.905610103454688e-2, 1.598472064569617e-6
2.905610103454688e-2, 1.540469356790943e-6
2.905610103454688e-2, 1.484571355240315e-6
2.905610103454688e-2, 1.430701687822774e-6
2.905610103454688e-2, 1.378786753707498e-6
2.905610103454688e-2, 1.328755622768756e-6
2.905610103454688e-2, 1.280539938675786e-6
2.905610103454688e-2, 1.234073825499181e-6
2.905610103454688e-2, 1.189293797706194e-6
2.905610103454688e-2, 1.146138673421982e-6
2.905610103454688e-2, 1.104549490838280e-6
2.905610103454688e-2, 1.064469427655302e-6
2.905610103454688e-2, 1.025843723446797e-6
2.905610103454688e-2, 9.886196048422016e-7
2.905610103454688e-2, 9.527462134236471e-7
2.905610103454688e-2, 9.181745362393295e-7
2.905610103454688e-2, 8.848573388382920e-7
2.905610103454688e-2, 8.527491007351307e-7
2.905610103454688e-2, 8.218059532164503e-7
2.905610103454688e-2, 7.919856194040962e-7
2.905610103454688e-2, 7.632473564932727e-7
2.905610103454688e-2, 7.355519000866292e-7
2.905610103454688e-2, 7.088614105482583e-7
2.905610103454688e-2, 6.831394213043111e-7
2.905610103454688e-2, 6.583507890195953e-7
2.905610103454688e-2, 6.344616455820808e-7
2.905610103454688e-2, 6.114393518297138e-7
2.905610103454688e-2, 5.892524529563137e-7
2.905610103454688e-2, 5.678706355356291e-7
2.905610103454688e-2, 5.472646861048321e-7
2.905610103454688e-2, 5.274064512508665e-7
2.905610103454688e-2, 5.082687991451175e-7
2.905610103454688e-2, 4.898255824738460e-7
2.905610103454688e-2, 4.720516027137436e-7
2.905610103454688e-2, 4.549225757037956e-7
2.905610103454688e-2, 4.384150984664166e-7
2.905610103454688e-2, 4.225066172325245e-7
2.905610103454688e-2, 4.071753966268690e-7
2.905610103454688e-2, 3.029462850933700e-7
2.905610103454688e-2, 2.919534718710532e-7
2.905610103454688e-2, 2.813595476547639e-7
2.905610103454688e-2, 2.711500382206698e-7
2.905610103454688e-2, 2.613109945616087e-7
2.905610103454688e-2, 2.093368863730040e-7
2.905610103454688e-2, 2.017408160276269e-7
2.924034277539482e-2, 7.662789518767673e-4
2.924034277539482e-2, 7.384734899560906e-4
2.924034277539482e-2, 7.116769866016489e-4
2.924034277539482e-2, 6.858528303954675e-4
2.924034277539482e-2, 6.609657384140907e-4
2.924034277539482e-2, 6.369817080223737e-4
