m_phi(GeV),sin_theta^2,Q_phi,C_phiN,G_phi,xi,P_esc,V_SN,lambda_phi,energy loss rate
0.197899,8.81687e-11,2.61833e-13,2.13731e-08,0.446417,0.0156524,0.771371,4.18879e+18,3.85971e+06,2.66558e+53
0.00207271,5.20122e-10,9.82921e-11,5.19113e-08,0.446417,0.996058,0.0102233,4.18879e+18,218193,1.32621e+54
0.0233248,4.30306e-11,6.64072e-12,1.49313e-08,0.446417,0.813409,0.722725,4.18879e+18,3.07958e+06,6.3342e+54
0.0107771,4.69163e-10,8.36903e-11,4.93028e-08,0.446417,0.940205,0.0194664,4.18879e+18,253868,2.15013e+54
0.0131102,2.76852e-12,4.82784e-13,3.78733e-09,0.446417,0.91913,0.977426,4.18879e+18,4.37968e+07,6.22788e+53
0.0152118,1.8114e-11,3.08908e-12,9.6876e-09,0.446417,0.898848,0.863417,4.18879e+18,6.80936e+06,3.52008e+54
0.00281342,3.08799e-11,5.82043e-12,1.26487e-08,0.446417,0.993461,0.762257,4.18879e+18,3.68363e+06,5.85546e+54
0.00177013,6.91501e-13,1.30792e-13,1.89281e-09,0.446417,0.996917,0.993921,4.18879e+18,1.63991e+08,1.71568e+53
0.00175269,3.54501e-10,6.70541e-11,4.28567e-08,0.446417,0.996963,0.0438826,4.18879e+18,319873,3.88348e+54
0.00153162,1.07197e-12,2.02873e-13,2.35668e-09,0.446417,0.997502,0.990587,4.18879e+18,1.05732e+08,2.65228e+53
0.105162,9.3765e-10,2.93978e-11,6.96995e-08,0.446417,0.165251,0.0238023,4.18879e+18,267658,9.235e+53
0.0213933,3.97541e-11,6.29371e-12,1.43516e-08,0.446417,0.834442,0.736874,4.18879e+18,3.27511e+06,6.12073e+54
0.0192754,1.63639e-12,2.66106e-13,2.91174e-09,0.446417,0.857114,0.987272,4.18879e+18,7.80658e+07,3.46733e+53
0.00162005,4.33763e-12,8.20738e-13,4.74062e-09,0.446417,0.997295,0.962459,4.18879e+18,2.61345e+07,1.04253e+54
0.0644146,1.23216e-11,9.37464e-13,7.98994e-09,0.446417,0.401012,0.937469,4.18879e+18,1.54893e+07,1.15989e+54
0.00877291,9.37683e-13,1.70213e-13,2.20413e-09,0.446417,0.956773,0.992047,4.18879e+18,1.25239e+08,2.22859e+53
0.00200471,6.56952e-12,1.24176e-12,5.83413e-09,0.446417,0.996262,0.943746,4.18879e+18,1.72717e+07,1.54666e+54
0.0219784,5.95685e-11,9.35898e-12,1.75678e-08,0.446417,0.828101,0.634384,4.18879e+18,2.19735e+06,7.83582e+54
