m_phi(GeV),sin_theta^2,Q_phi,C_phiN,G_phi,xi,P_esc,V_SN,lambda_phi,energy loss rate
0.0131479,1.59769e-12,2.78504e-13,2.87711e-09,0.446417,0.918776,0.608526,4.18879e+18,2.02e+06,2.23673e+53
0.178831,1.9095e-08,9.44795e-11,3.14535e-07,0.446417,0.0260789,0.608526,4.18879e+18,2.02e+06,7.58787e+55
0.0497034,2.13417e-07,2.15229e-08,1.05153e-06,0.446417,0.53155,0.608526,4.18879e+18,2.02e+06,1.72856e+58
0.0019118,5.90998e-12,1.11739e-12,5.53353e-09,0.446417,0.996531,0.608526,4.18879e+18,2.02e+06,8.97405e+53
0.023083,1.14496e-10,1.77272e-11,2.43559e-08,0.446417,0.816056,0.608526,4.18879e+18,2.02e+06,1.42371e+55
0.00423179,3.77403e-07,7.06687e-08,1.39834e-06,0.446417,0.986946,0.608526,4.18879e+18,2.02e+06,5.67557e+58
0.0190771,6.57106e-07,1.07118e-07,1.84513e-06,0.446417,0.85921,0.608526,4.18879e+18,2.02e+06,8.60293e+58
0.0148652,5.61192e-08,9.6067e-09,5.39219e-07,0.446417,0.902265,0.608526,4.18879e+18,2.02e+06,7.71537e+57
0.0135364,7.49531e-08,1.30134e-08,6.23167e-07,0.446417,0.915106,0.608526,4.18879e+18,2.02e+06,1.04514e+58
0.0584698,7.05092e-07,6.02977e-08,1.91132e-06,0.446417,0.45074,0.608526,4.18879e+18,2.02e+06,4.84265e+58
0.0126799,7.91815e-08,1.38682e-08,6.40503e-07,0.446417,0.923142,0.608526,4.18879e+18,2.02e+06,1.11379e+58
0.0127469,1.10125e-12,1.92748e-13,2.38864e-09,0.446417,0.922521,0.608526,4.18879e+18,2.02e+06,1.548e+53
0.0404007,9.93137e-10,1.17978e-10,7.17322e-08,0.446417,0.626128,0.608526,4.18879e+18,2.02e+06,9.4751e+55
0.0984667,4.20756e-11,1.5392e-12,1.47647e-08,0.446417,0.192812,0.608526,4.18879e+18,2.02e+06,1.23617e+54
0.007644,5.32468e-11,9.75223e-12,1.66095e-08,0.446417,0.965343,0.608526,4.18879e+18,2.02e+06,7.83225e+54
0.00343182,5.23604e-11,9.84318e-12,1.64707e-08,0.446417,0.99084,0.608526,4.18879e+18,2.02e+06,7.90529e+54
0.0010659,6.11534e-10,1.15839e-10,5.62885e-08,0.446417,0.998399,0.608526,4.18879e+18,2.02e+06,9.30329e+55
0.00150408,1.69628e-07,3.21046e-08,9.37472e-07,0.446417,0.997564,0.608526,4.18879e+18,2.02e+06,2.5784e+58
0.0209712,9.74151e-13,1.55066e-13,2.24658e-09,0.446417,0.838998,0.608526,4.18879e+18,2.02e+06,1.24537e+53
0.0738242,2.93052e-07,1.83934e-08,1.2322e-06,0.446417,0.330817,0.608526,4.18879e+18,2.02e+06,1.47721e+58
0.0057072,3.27265e-07,6.07559e-08,1.30214e-06,0.446417,0.978499,0.608526,4.18879e+18,2.02e+06,4.87945e+58
0.0166945,1.01345e-08,1.69965e-09,2.29145e-07,0.446417,0.88395,0.608526,4.18879e+18,2.02e+06,1.36503e+57
0.00235141,6.6451e-10,1.25465e-10,5.8676e-08,0.446417,0.995158,0.608526,4.18879e+18,2.02e+06,1.00764e+56
0.030987,1.21954e-09,1.68572e-10,7.94892e-08,0.446417,0.728549,0.608526,4.18879e+18,2.02e+06,1.35384e+56
0.0084944,8.22738e-07,1.49687e-07,2.06462e-06,0.446417,0.958943,0.608526,4.18879e+18,2.02e+06,1.20217e+59
0.00233185,4.57582e-09,8.64011e-10,1.53973e-07,0.446417,0.995225,0.608526,4.18879e+18,2.02e+06,6.93908e+56
0.00111347,1.1648e-07,2.20623e-08,7.76847e-07,0.446417,0.998322,0.608526,4.18879e+18,2.02e+06,1.77188e+58
0.0318663,1.2161e-07,1.6585e-08,7.9377e-07,0.446417,0.718812,0.608526,4.18879e+18,2.02e+06,1.33198e+58
0.01683,4.55887e-08,7.63368e-09,4.86002e-07,0.446417,0.882568,0.608526,4.18879e+18,2.02e+06,6.13079e+57
0.209298,5.73859e-10,1.2501e-12,5.4527e-08,0.446417,0.0114819,0.608526,4.18879e+18,2.02e+06,1.00399e+54
0.0263927,5.0464e-10,7.46381e-11,5.11329e-08,0.446417,0.779561,0.608526,4.18879e+18,2.02e+06,5.99437e+55
