m_phi(GeV),sin_theta^2,Q_phi,C_phiN,G_phi,xi,P_esc,V_SN,F,lambda_phi,energy loss rate
0.0602529,5.722e-12,4.72664e-13,5.44482e-09,0.446417,0.435387,0.956965,4.18879e+18,1.0284e+11,2.27384e+07,5.9697e+53
0.012426,2.75066e-12,4.82987e-13,3.7751e-09,0.446417,0.925485,0.97908,4.18879e+18,1.48326e+11,4.73011e+07,6.24104e+53
0.00151908,7.70655e-10,1.45853e-10,6.31887e-08,0.446417,0.99753,0.00267675,4.18879e+18,8.86146e+09,168830,5.1526e+53
0.0275511,1.11664e-11,1.62432e-12,7.60617e-09,0.446417,0.766705,0.917749,4.18879e+18,7.36171e+10,1.16519e+07,1.96742e+54
0.100261,3.41217e-10,1.19804e-11,4.2046e-08,0.446417,0.185059,0.0725468,4.18879e+18,1.33174e+10,381309,1.14707e+54
0.0117014,4.72135e-11,8.3491e-12,1.56402e-08,0.446417,0.932062,0.695663,4.18879e+18,3.58016e+10,2.75577e+06,7.66553e+54
0.0133085,2.33232e-11,4.05893e-12,1.09927e-08,0.446417,0.917264,0.835883,4.18879e+18,5.09379e+10,5.57853e+06,4.47776e+54
0.0122326,1.13569e-10,1.99796e-11,2.42571e-08,0.446417,0.927256,0.417735,4.18879e+18,2.30837e+10,1.14565e+06,1.10152e+55
0.00843708,6.81035e-11,1.23963e-11,1.87843e-08,0.446417,0.959385,0.592474,4.18879e+18,2.98092e+10,1.91046e+06,9.69314e+54
0.0118131,7.8235e-11,1.382e-11,2.01331e-08,0.446417,0.931058,0.548084,4.18879e+18,2.78121e+10,1.66306e+06,9.99672e+54
0.00320294,1.42434e-10,2.68033e-11,2.71654e-08,0.446417,0.991853,0.334629,4.18879e+18,2.06124e+10,913473,1.18374e+55
0.0871794,3.33125e-10,1.56963e-11,4.15445e-08,0.446417,0.248348,0.0772145,4.18879e+18,1.34782e+10,390572,1.59955e+54
0.00374641,1.16667e-11,2.18997e-12,7.77471e-09,0.446417,0.989372,0.914233,4.18879e+18,7.20212e+10,1.11522e+07,2.6424e+54
0.00706252,4.29426e-12,7.89897e-13,4.71687e-09,0.446417,0.969512,0.967533,4.18879e+18,1.18711e+11,3.02984e+07,1.00865e+54
0.0137795,4.04989e-11,7.01362e-12,1.44854e-08,0.446417,0.91279,0.732507,4.18879e+18,3.86557e+10,3.21267e+06,6.78043e+54
0.0065927,1.30998e-12,2.41765e-13,2.6052e-09,0.446417,0.972748,0.989982,4.18879e+18,2.14933e+11,9.93217e+07,3.15882e+53
0.0083095,8.11678e-11,1.47893e-11,2.0507e-08,0.446417,0.960364,0.535872,4.18879e+18,2.73051e+10,1.60297e+06,1.04595e+55
0.00148638,8.27707e-11,1.56662e-11,2.07085e-08,0.446417,0.997603,0.529319,4.18879e+18,2.70394e+10,1.57193e+06,1.09442e+55
0.0337284,5.28423e-10,7.00055e-11,5.2324e-08,0.446417,0.698267,0.0172169,4.18879e+18,1.07015e+10,246222,1.59071e+54
0.156068,3.53723e-11,3.17173e-13,1.35376e-08,0.446417,0.0472612,0.761826,4.18879e+18,4.13622e+10,3.67829e+06,3.18901e+53
0.00241922,7.477e-13,1.41139e-13,1.96822e-09,0.446417,0.994925,0.99427,4.18879e+18,2.84493e+11,1.74013e+08,1.85206e+53
0.0521802,9.04923e-10,8.71907e-11,6.84724e-08,0.446417,0.507843,0.000952519,4.18879e+18,8.17766e+09,143779,1.09609e+53
0.00112937,5.30799e-12,1.00535e-12,5.24414e-09,0.446417,0.998295,0.960025,4.18879e+18,1.06775e+11,2.4512e+07,1.27381e+54
0.041522,3.32122e-12,3.87091e-13,4.14818e-09,0.446417,0.61431,0.974793,4.18879e+18,1.34985e+11,3.91752e+07,4.98e+53
0.0143331,2.69847e-11,4.64595e-12,1.18241e-08,0.446417,0.907459,0.812686,4.18879e+18,4.73561e+10,4.82159e+06,4.98311e+54
0.00546053,2.31097e-11,4.29691e-12,1.09423e-08,0.446417,0.980014,0.83726,4.18879e+18,5.11726e+10,5.63007e+06,4.7481e+54
0.0193035,8.40775e-10,1.36677e-10,6.60008e-08,0.446417,0.856816,0.00156088,4.18879e+18,8.48389e+09,154749,2.81559e+53
0.00585789,2.16477e-10,4.01497e-11,3.34901e-08,0.446417,0.977553,0.189409,4.18879e+18,1.67197e+10,601030,1.00366e+55
0.0251453,1.0874e-10,1.63679e-11,2.37358e-08,0.446417,0.79337,0.433513,4.18879e+18,2.35907e+10,1.19652e+06,9.36483e+54
0.0215495,6.14686e-12,9.71177e-13,5.64334e-09,0.446417,0.832753,0.953851,4.18879e+18,9.92221e+10,2.11668e+07,1.2226e+54
0.163459,1.70471e-11,1.26265e-13,9.39799e-09,0.446417,0.0390394,0.877122,4.18879e+18,5.95813e+10,7.63234e+06,1.46166e+53
0.00251201,1.47866e-12,2.79025e-13,2.76785e-09,0.446417,0.994596,0.9887,4.18879e+18,2.02303e+11,8.79916e+07,3.64092e+53
0.00259325,2.74422e-11,5.17684e-12,1.19239e-08,0.446417,0.9943,0.809841,4.18879e+18,4.69598e+10,4.74122e+06,5.53309e+54
0.0075944,8.65061e-12,1.58497e-12,6.69473e-09,0.446417,0.965706,0.935673,4.18879e+18,8.36395e+10,1.50405e+07,1.95726e+54
0.00221936,2.83133e-12,5.34815e-13,3.83006e-09,0.446417,0.995597,0.978474,4.18879e+18,1.46197e+11,4.59534e+07,6.90647e+53
0.0118421,7.96036e-13,1.40578e-13,2.03084e-09,0.446417,0.930798,0.9939,4.18879e+18,2.7572e+11,1.63447e+08,1.84401e+53
0.0165322,1.70319e-11,2.86174e-12,9.39379e-09,0.446417,0.885602,0.877295,4.18879e+18,5.96079e+10,7.63917e+06,3.31344e+54
0.0833938,1.28865e-10,6.59581e-12,2.5839e-08,0.446417,0.269777,0.371303,4.18879e+18,2.16705e+10,1.00966e+06,3.23222e+54
0.00366316,1.49328e-10,2.80417e-11,2.78151e-08,0.446417,0.989769,0.317357,4.18879e+18,2.01309e+10,871298,1.17451e+55
0.00192266,9.81586e-11,1.85581e-11,2.25514e-08,0.446417,0.9965,0.470276,4.18879e+18,2.48297e+10,1.3255e+06,1.15184e+55
0.0272213,1.04572e-12,1.52842e-13,2.32765e-09,0.446417,0.770368,0.991994,4.18879e+18,2.40562e+11,1.24421e+08,2.00104e+53
0.00101833,9.96771e-12,1.88825e-12,7.18633e-09,0.446417,0.998473,0.926251,4.18879e+18,7.79179e+10,1.30531e+07,2.3083e+54
0.00131482,1.82814e-10,3.46139e-11,3.07761e-08,0.446417,0.997959,0.245347,4.18879e+18,1.81941e+10,711704,1.12082e+55
0.105542,6.09581e-12,1.89435e-13,5.61986e-09,0.446417,0.163795,0.954211,4.18879e+18,9.96367e+10,2.13441e+07,2.38566e+53
0.00606073,1.04493e-12,1.93544e-13,2.32677e-09,0.446417,0.976259,0.992001,4.18879e+18,2.40653e+11,1.24515e+08,2.53394e+53
0.091716,4.41159e-12,1.87967e-13,4.78087e-09,0.446417,0.224573,0.96665,4.18879e+18,1.17122e+11,2.94926e+07,2.39803e+53
0.0279192,1.09905e-12,1.5902e-13,2.38626e-09,0.446417,0.762617,0.991588,4.18879e+18,2.34653e+11,1.18384e+08,2.08107e+53
0.0215125,7.16222e-13,1.13214e-13,1.92634e-09,0.446417,0.833153,0.99451,4.18879e+18,2.90677e+11,1.81661e+08,1.48598e+53
0.00153522,5.39759e-12,1.0215e-12,5.28822e-09,0.446417,0.997493,0.959364,4.18879e+18,1.05885e+11,2.41051e+07,1.29338e+54
0.0130384,2.6966e-12,4.70587e-13,3.73781e-09,0.446417,0.919803,0.979487,4.18879e+18,1.49805e+11,4.82494e+07,6.08334e+53
0.00319114,5.6335e-11,1.06017e-11,1.70844e-08,0.446417,0.991904,0.648569,4.18879e+18,3.27752e+10,2.30956e+06,9.0748e+54
0.0229018,4.91542e-10,7.62893e-11,5.0465e-08,0.446417,0.818038,0.0228633,4.18879e+18,1.10957e+10,264696,2.302e+54
0.0261716,1.73164e-10,2.56921e-11,2.99529e-08,0.446417,0.782012,0.264203,4.18879e+18,1.86942e+10,751364,8.95864e+54
0.159176,4.55284e-10,3.76809e-12,4.85681e-08,0.446417,0.0436225,0.0301518,4.18879e+18,1.15291e+10,285776,1.49947e+53
0.0399292,1.14178e-11,1.36718e-12,7.6913e-09,0.446417,0.631127,0.915974,4.18879e+18,7.28023e+10,1.13954e+07,1.65277e+54
0.0423817,8.63454e-11,9.91635e-12,2.11509e-08,0.446417,0.605319,0.514923,4.18879e+18,2.64738e+10,1.50685e+06,6.73905e+54
0.00233778,9.52218e-11,1.79795e-11,2.22115e-08,0.446417,0.995205,0.481011,4.18879e+18,2.52097e+10,1.36638e+06,1.1414e+55
0.113367,2.85036e-11,7.36941e-13,1.21523e-08,0.446417,0.136271,0.803187,4.18879e+18,4.60771e+10,4.56467e+06,7.81183e+53
0.157393,2.09319e-10,1.81396e-12,3.29317e-08,0.446417,0.0456762,0.199924,4.18879e+18,1.70032e+10,621585,4.78624e+53
0.00136965,9.44696e-10,1.78849e-10,6.99609e-08,0.446417,0.99785,0.000702543,4.18879e+18,8.00367e+09,137726,1.6583e+53
0.00146717,2.04174e-10,3.86461e-11,3.25245e-08,0.446417,0.997645,0.2082,4.18879e+18,1.72161e+10,637246,1.06192e+55
0.0233899,1.18652e-11,1.82949e-12,7.84055e-09,0.446417,0.812695,0.912834,4.18879e+18,7.14164e+10,1.09656e+07,2.20408e+54
0.008763,2.10576e-11,3.82281e-12,1.04451e-08,0.446417,0.956851,0.850568,4.18879e+18,5.36081e+10,6.17873e+06,4.29136e+54
0.0371949,8.17694e-10,1.0246e-10,6.50886e-08,0.446417,0.660441,0.00186313,4.18879e+18,8.6028e+09,159118,2.51942e+53
0.0211134,1.61142e-10,2.56038e-11,2.88944e-08,0.446417,0.837466,0.289788,4.18879e+18,1.9379e+10,807420,9.79241e+54
0.0015306,7.615e-13,1.44116e-13,1.9863e-09,0.446417,0.997504,0.994164,4.18879e+18,2.81903e+11,1.70859e+08,1.89093e+53
0.00208981,1.77291e-10,3.35026e-11,3.03077e-08,0.446417,0.996006,0.255984,4.18879e+18,1.84753e+10,733873,1.13186e+55
0.00550629,5.7798e-13,1.07436e-13,1.73048e-09,0.446417,0.979736,0.995568,4.18879e+18,3.23578e+11,2.25111e+08,1.41164e+53
